title,numworks
The Adventures of Captain Marvel (1941), 1
Приключения капитана Врунгеля | Adventures of Captain Vrungel - All Media Types, 1
Приключения Электроника | The Adventures of Elektronik (1980), 1
The Adventures of Ichabod and Mr. Toad (1949), 1
The Adventures of Priscilla Queen of the Desert (1994), 23
Adventures of Robin Hood (1938), 2
The Adventures of Sharkboy and Lavagirl in 3-D (2005), 5
Adventures of Tintin (2011), 35
Advise and Consent (1962), 1
Aeon Flux (2005), 10
Aeon Flux - All Media Types, 14
Afdeling Q | Department Q (Movies), 1
The African Queen (1951), 2
After Earth (2013), 2
ワンダフルライフ | After Life (1998), 2
After Sex (2007), 1
After the Dance (2014), 1
Aftersun (2006), 1
Afterwards (2008), 1
The Age of Adaline (2015), 6
Agent Carter (Marvel Short Film), 61
Agent Cody Banks (2003), 2
Agora (2009), 3
Air (2005), 8
Air (2015), 1
Air America (1990), 2
Air Bud (1997), 6
The Air I Breathe (2007), 2
Aiyyaa (2012), 1
Akeelah and the Bee (2006), 2
Akihabara@DEEP, 2
Al cielo | To Heaven (2012), 1
Al di là della legge | Beyond the Law (1968), 4
Aladdin (1992), 325
Aladdin - All Media Types, 369
The Alamo (1960), 1
Alan Partridge: Alpha Papa (2013), 1
Alatriste - All Media Types, 4
Albert Nobbs (2011), 3
Alexander (2004), 247
Alice Comedies (Short Films), 1
Alice in Wonderland (1951), 81
Alice in Wonderland (Movies - Burton), 490
Alien (1979), 94
Alien 3 (1992), 16
Alien Apocalypse (2005), 1
Alien Autopsy (2006), 2
Alien Series, 598
Alien vs Predator (2004), 101
Alien: Resurrection (1997), 52
Aliens (1986), 261
Aliens in the Attic (2009), 7
All About Eve (1950), 5
リリイ・シュシュのすべて | All About Lily Chou-Chou (2001), 1
All Cheerleaders Die (2013), 7
All Dogs Go to Heaven (1989), 9
All Dogs Go to Heaven (Movies), 11
All Dogs Go to Heaven 2 (1996), 1
All Good Things (2010), 1
All Hail the King (Marvel Short Film), 2
All Quiet on the Western Front - All Media Types, 8
All Superheroes Must Die (2011), 1
All the Boys Love Mandy Lane (2006), 1
All the President's Men (1976), 7
All the Pretty Horses - All Media Types, 3
All the Queen's Men (2001), 2
All the Real Girls (2003), 1
Allied (2016), 1
The Alligator People (1959), 1
Alma (2009), 1
Almost Famous (2000), 13
Aloft (2014), 1
Along Came A Spider (2001), 1
Along Came Polly (2004), 1
Alpha Dog (2006), 3
Alternative 3 (1977), 2
Alto (2015), 1
Alvin and the Chipmunks - All Media Types, 32
Always Crashing in the Same Car (2007), 12
Always Sanchoume no Yuuhi | Always: Sunset on Third Street (2005), 1
Aḿ Jín | Running Out of Time (1999), 1
Amadeus (1984), 17
Los amantes pasajeros | I'm So Excited! (2013), 1
Amazing Grace (2006), 13
The Amazing Spider-Man (Movies - Webb), 1949
American Beauty (1999), 9
An American Crime (2007), 1
American Dragons (1998), 2
American Girl Dolls - All Media Types, 68
American History X (1998), 3
American Hustle (2013), 7
An American in Paris (1951), 2
American Mary (2012), 13
American Me (1992), 1
American Outlaws (2001), 1
American Pie (Movies), 11
The American President (1995), 9
American Psycho - All Media Types, 27
American Safety: Basic First Aid Training (2008), 1
American Sniper (2014), 1
An American Tail (Movies), 5
American Ultra (2015), 8
American Werewolf in London (1981), 2
The Amityville Horror (Movies), 1
Un amour à taire | A Love to Hide (2005), 1
Anastasia (1997), 109
Anatomy of a Love Seen (2014), 1
Anchorman (Movies), 2
Anchors Aweigh (1945), 1
And Now The Screaming Starts! (1973), 1
And Soon the Darkness (2010), 1
And Then Came Summer (2000), 1
And They're Off (2011), 2
Ang Pagdadalaga ni Maximo Oliveros | The Blossoming of Maximo Oliveros (2005), 1
Angel (2007 Ozon), 2
Angels & Demons (2009), 19
Angels Crest (2011), 1
Angels in the Outfield (Movies), 1
Änglagård | House of Angels (1992), 1
Angry Birds - All Media Types, 25
Angry Video Game Nerd: The Movie (2014), 1
Animal Factory (2000), 3
Animal House (Movies), 2
Anna Karenina - All Media Types, 9
Anna to the Infinite Power (1983), 1
Annie (1982), 12
Annie (2014), 5
Annie Hall (1977), 1
Anonymous (2011), 2
Another Cinderella Story (2008), 4
Another Country (1984), 5
Another Earth (2011), 1
Another Gay Movie (2006), 3
Another Happy Day (2011), 1
Ant Muzak (2002), 1
Ant-Man (Movies), 417
Anthropoid (2016), 2
Antibirth (2016), 1
서양골동양과자점 앤티크 | Antique (2008), 8
Antitrust (2001), 1
Antiviral (2012), 1
Any Day Now (2012), 1
The Apartment (1960), 1
Apartment Zero (1988), 3
Apocalypse Now (1979), 10
Apocalypto (2006), 1
Apollo 13 (1995), 4
Appa-ga Yeoja-reul Johahae | Lady Daddy (2010), 1
Appaloosa - All Media Types, 9
The Apparition (2012), 7
The Apple Dumpling Gang (1975), 1
Appleseed - 士郎正宗 | Appleseed - Shirow Masamune, 5
Approaching The Unknown (2016), 1
Aquaman (2018), 2
Aquamarine (2006), 2
Акванавты | Aquanauts (1979), 1
Archie Comics & Related Fandoms, 1469
Archipelago (2010), 7
The Architect (2006), 1
Arena (2011), 1
Argo (2012), 1
The Aristocats (1970), 19
Arizona Dream (1993), 1
Armageddon (1998), 15
龍兄虎弟 | Armour of God (Movies), 1
Arrival (2016), 23
Arsenic and Old Lace (1944), 8
The Art of War (2000), 2
Arthur Christmas (2011), 14
Arthurian Mythology & Related Fandoms, 29113
The Artist (2011), 4
As Above So Below (2014), 4
As You Are (2016), 1
Ash Wednesday (2002), 1
Askewniverse, 198
अशोक | Aśoka (2001), 2
Aspen Extreme (1993), 14
Assassin's Creed - All Media Types, 5358
Assassination Of A High School President (2008), 1
Assassination of Jesse James by the Coward Robert Ford (2007), 12
Assassins (1995), 2
Assault Girls (2009), 1
Assault on Wall Street (2013), 1
The Associate (1996), 1
Astérix et Obélix | Asterix & Obelix (Live Action Movies), 4
Asteroid (1997), 3
Astro Boy (2009), 5
At First Sight (1999), 1
Atlantis: The Lost Empire (2001), 123
Atonement (2007), 34
Attack of the 50 Foot Woman (1958), 1
Attack of the 50 Ft. Woman (1993), 1
꽃미남 연쇄 테러사건 | Attack On The Pin-Up Boys (2007), 2
Attack the Block (2011), 33
August Rush (2007), 9
August: Osage County (2013), 23
Auntie Mame (1958), 3
Austenland (2013), 4
Austenland - All Media Types, 13
Austin Powers (Movies), 8
Australia (2008), 16
秋雨 | Autumn Rain (2005), 1
Avalon High (2010), 16
Avatar (2009), 127
The Avengers (1998), 1
The Avengers (Marvel Movies), 80289
The Avengers (Marvel) - All Media Types, 93722
The Avengers - Ambiguous Fandom, 96326
Avengers Grimm (2015), 1
Les Aventures Extraordinaires d'Adele Blanc-Sec (2010), 4
Awake (2007), 1
The Awakening (2011), 6
Away from Her (2006), 1
Away We Go (2009), 1
An Awfully Big Adventure (1995), 1
あずみ | Azumi (Movies), 1
Børning (2014), 1
Baahubali: The Beginning (2015), 1
Baazigar (1993), 1
The Babadook (2014), 11
Babette's Feast - All Media Types, 1
Baby Face (1933), 1
Baby Mama (2008), 7
Baby-Sitters Club - All Media Types, 531
Babylon A.D. (2008), 2
Bachelor Mother (1939), 1
Bachelorette (2012), 1
Bachna Ae Haseeno (2008), 1
Back to the Future (Movies), 278
The Back-up Plan (2010), 2
Backbeat (1994), 1
Backdraft (1991), 5
Backwater Gospel (Short Film), 1
Bad Boy Street (2012), 5
Bad Ronald - All Media Types, 1
The Bag Man (2014), 1
A Bag of Hammers (2011), 3
Bái Fà Mó Nǚ Zhuàn | Bride with White Hair (1993), 1
Bait (2012), 1
Bajrangi Bhaijaan (2015), 2
The Baker (2007), 6
Ball of Fire (1941), 2
Balls of Fury (2007), 1
Balto (Movies), 17
Bambi (1942), 19
Bandage (2010), 10
Bandidas (2006), 2
Bandits (1997), 5
Bandits (2001), 1
ബാംഗ്ലൂർ ഡെയ്സ് | Bangalore Days (2014), 1
The Bank (2001), 1
Banlieue 13 (Movies), 58
Barbarella (1968), 4
Barbie & Her Sisters in A Pony Tale (2013), 1
Barbie and the Three Musketeers (2009), 2
Barbie as The Princess and the Pauper (2004), 11
The Barbie Diaries (2006), 1
Barbie Fairytopia (Movies), 2
Barbie in Rock'n Royals (2015), 1
Barbie in The Pink Shoes (2013), 2
Barbie: The Pearl Princess (2014), 1
Barely Lethal (2015), 2
플란다스의 개 | Barking Dogs Never Bite (2000), 1
Barsoom & Related Fandoms, 37
BASEketball (1998), 3
Basic Instinct (Movies), 46
Basil of Baker Street - All Media Types, 129
The Basketball Diaries (1995), 1
Bastille Day (2016), 19
Batbabe: The Dark Nightie (2009), 1
Batman (Movies - Nolan), 2728
Batman (Movies 1989-1997), 73
Batman - All Media Types, 20973
Batman v Superman: Dawn of Justice, 846
Batman: Assault On Arkham, 20
Batman: The Dark Knight Returns (2012-2013), 7
Batman: The Killing Joke (2016), 5
Batteries Not Included (1987), 1
Battle for Terra (2007), 1
The Battle of Britain (1969), 1
Battle Royale (2000), 21
Battle Royale - All Media Types, 81
Battle Royale II: Requiem (2003), 3
Battle: Los Angeles (2011), 1
Battlefield Earth (2000), 3
Battleship (2012), 5
Bàwáng Bié Jī | Farewell My Concubine (1993), 5
The Baytown Outlaws (2012), 1
The Beach Girls and the Monster (1965), 1
Beaches (1988), 3
A Bear Named Winnie (2004), 4
The Beast From 20000 Fathoms (1953), 1
Beastly (2011), 6
Beasts of the Southern Wild (2012), 1
Beat (2013), 2
Beautiful Boxer (2004), 1
Beautiful Creatures (2013), 17
Beautiful Girls (1996), 1
Beautiful Kate (2009), 2
A Beautiful Mind (2001), 3
Beautiful Thing (1996), 8
Beauty and the Beast - All Media Types, 1247
Beauty and the Beast (1991), 598
Beauty and the Beast (2017), 338
美丽密令 | Beauty On Duty! (2010), 1
Because of Winn-Dixie - All Media Types, 1
Beck (Movies - Börjlind), 4
Becket (1964), 3
Becoming Jane (2007), 44
Bedazzled (1967), 4
Bedazzled (2000), 2
Bedazzled (All Movies), 7
Bedknobs and Broomsticks (1971), 14
Bedrooms and Hallways (1998), 4
Bedtime Stories (2008), 1
Będzie lepiej (1936), 2
Bee Movie (2007), 60
Beetlejuice (1988), 63
Beetlejuice - All Media Types, 86
Before I Disappear (2014), 1
Before I Go to Sleep (2014), 5
Before Midnight (2013), 1
Before Night Falls (2000), 1
Before Sunrise (1995), 5
Before Sunset (2004), 5
Before We Go (2014), 5
Begin Again (2013 Carney), 8
Behemoth the Sea Monster | The Giant Behemoth (1959), 2
Behind the Mask: The Rise of Leslie Vernon (2006), 5
The Believer (2001), 1
The Belko Experiment (2017), 1
Bell Book and Candle (1958), 3
Bella and the Boys (2004), 2
Bella Donna (1934), 1
Belle (2013), 7
Belle de Jour (1967), 1
Ben-Hur (1959), 10
Ben-Hur (2016), 6
Bend It Like Beckham (2002), 71
Benny & Joon (1993), 3
Beowulf (2007), 6
Beowulf - All Media Types, 43
Bereavement (2010), 1
Berenstain Bears - All Media Types, 2
Bernard and the Genie (1991), 2
The Best Exotic Marigold Hotel (Movies), 14
The Best Little Girl in the World (1981), 1
The Best Men (2007), 1
The Best Offer (2013), 1
Better Luck Tomorrow (2002), 5
Better Than Chocolate (1999), 1
Better Than Sex (2000), 1
Beverly Hills Cop (Movies), 1
Bewitched (2005), 2
Beyond The Valley Of The Dolls (1970), 2
Bhoothnath (Movies), 1
Bibleman (Film Series), 1
Bicentennial Man (1999), 2
Big (1988), 3
The Big Blue (1988), 1
Big Business (1988), 2
Big Eden (2000), 41
The Big Empty (2003), 2
Big Fish (2003), 4
The Big Gundown (1966), 2
Big Hero 6 (2014), 2055
The Big Lebowski (1998), 7
Big Nothing (2006), 2
The Big Short (2015), 4
The Big Sleep (1946), 3
Big Trouble in Little China (1986), 10
Bill & Ted (Movies), 36
Billy Budd - All Media Types, 1
Billy Elliot (2000), 36
Billy Jack (Movies), 1
Billy Lynn's Long Halftime Walk (2016), 6
Bionicle - All Media Types, 90
Birdman (2014), 1
The Birds (1963), 3
Bis ans Ende der Welt | Until the End of the World (1991), 2
The Bishop's Wife (1947), 1
Bitch Slap (2010), 8
Black Beauty (1994), 2
The Black Castle (1952), 2
The Black Cat (1934), 1
The Black Cauldron (1985), 15
Black Death (2010), 3
Black Dynamite (2009), 1
Black Friday (1940), 1
Black Hawk Down (2001), 60
The Black Hole (1979), 1
Black Mass (2015), 3
Black Panther (2018), 162
撕票風雲 | Black Ransom (2010), 1
Black Sea (2014), 1
The Black Shield of Falworth (1954), 2
本命年 | Black Snow (1990), 2
Black Stallion - All Media Types, 7
Black Swan (2010), 66
The Black Water Vampire (2014), 1
Blackbeard's Ghost (1968), 1
Blackhat (2015), 2
Blacula (1972), 1
Blade - All Media Types, 319
Blade (Movie Series), 294
Blade Runner (1982), 104
Blades of Glory (2007), 53
The Blair Witch Project (1999), 9
Blame it on the Bellboy (1992), 1
Blast from the Past (1999), 1
Blazing Saddles (1974), 18
Bleeder (1999), 9
Blind Dating (2006), 25
推拿 | Blind Massage (2014), 2
The Bling Ring (2013), 1
Blinkende lygter | Flickering Lights (2000), 10
Blitz (2011), 40
The Blob (1958), 1
Blomsterfangen (1996), 6
Blonde Venus (1932), 1
Blood and Chocolate (2007), 26
Blood and Chocolate - All Media Types, 41
Blood Creek (2009), 4
Blood Dolls (1999), 1
Blood Drips on Newsies Square (1991), 3
BloodRayne (Movies), 2
Bloomington (2010), 11
Blow-Up (1966), 3
Blue Crush (2002), 28
The Blue Lagoon (1980), 1
Blue Lagoon: The Awakening (2012), 2
Blue Valentine (2010), 2
Blue Velvet (1986), 2
Blueberry | Renegade (2004), 1
Blues Brothers (Movies), 26
Boa vs. Python (2004), 53
Boat that Rocked | Pirate Radio (2009), 7
Bobby (2006), 3
Body of Lies (2008), 60
The Body Snatcher (1945), 1
The Bodyguard (1992), 4
Boiler Room (2000), 1
僕たちの高原ホテル | Bokutachi No Kougen Hoteru | Our Kogen Hotel (2013), 1
Bollywood Movies, 132
Bolt (2008), 18
Bombay (1995), 1
Bon Cop Bad Cop (2006), 10
Bonneville (2006), 1
Bonnie and Clyde (1967), 2
Boogeyman 2 (2007), 1
Boogie Nights (1997), 1
The Book of Eli (2010), 6
The Book of Life (1998), 3
Book of Life (2014), 202
The Book Thief (2013), 4
Boomerang (1992), 1
Boondock Saints (Movies), 714
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006), 1
Born in Flames (1983), 1
野兽之瞳 | Born Wild (2001), 3
The Borrowers - All Media Types, 95
The Boss Baby (2017), 1
Bottle Rocket (1996), 1
Bottle Shock (2008), 2
Boudica (2003), 2
Bound (1996), 13
赏金猎人 | Bounty Hunters (2016), 1
Bourne (Movies), 424
The Bourne Identity (2002), 16
The Bourne Legacy (2012), 252
Bourne Series - All Media Types, 424
The Bourne Supremacy (2004), 48
The Bourne Ultimatum (2007), 12
The Boxtrolls (2014), 6
The Boy (2016 Bell), 23
ちょんまげぷりん | Chonmage Purin | A Boy and His Samurai, 1
Boy Eats Girl (2005), 1
The Boy in the Striped Pyjamas (2008), 4
Boy Meets Girl (2014 Movie), 1
The Boy Next Door (2015), 1
The Boy Who Could Fly (1986), 1
Boychoir (2014), 2
Boyhood (2014), 3
Boys Love | Schoolboy Crush, 9
The Boys Next Door (1985), 1
Boyz n the Hood (1991), 3
Bram Stoker's Dracula (1992), 40
Brammetje Baas | Fidgety Bram (2012), 1
Brass Target (1978), 1
Brassed Off (1996), 3
Bratz - All Media Types, 3
Bratz: Forever Diamondz (2006), 1
Brave (2012), 736
The Brave Little Toaster (1987), 5
The Brave One (2007), 1
Braveheart (1995), 7
Bravo Two Zero (1999), 7
Brazil (1985), 1
Breach of Trust (1995), 1
Breakfast at Tiffany's (1961), 9
The Breakfast Club (1985), 194
Breakfast on Pluto (2005), 3
Breakfast with Scot (2007), 39
Breaking and Entering (2006), 1
Breaking Up (1997), 1
The Breed (2001), 3
Breed (2006), 4
Breeze Anstey (1972), 1
Brick (2005), 48
Brick Mansions (2014), 1
Bride and Prejudice (2004), 2
Bride Wars (2009), 3
The Brides of Dracula (1960), 10
Brideshead Revisited (2008), 7
Brideshead Revisited - All Media Types, 70
Bridesmaids (2011), 14
Bridge of Spies (2015), 2
The Bridge on the River Kwai (1957), 1
Bridge to Terabithia (2007), 20
The Bridges of Madison County - All Media Types, 7
Bridget Jones's Diary (2001), 102
Bridget Jones's Diary - All Media Types, 188
Brief Encounter (1945), 5
Brigadoon (1954), 3
Bright Lights Big City (1988), 1
Bright Star (2009), 8
Bright Young Things, 4
Bring It On (Movies), 38
Bringing Up Baby (1938), 11
Brink! (1998), 2
Broderskab | Brotherhood (2009), 1
Brokeback Mountain - All Media Types, 462
Brokeback Mountain (2005), 457
Broken Blossoms (1919), 1
Broken City (2013), 1
The Broken Hearts Club (2000), 4
Broken Sky (2006), 2
Bronson (2008), 22
The Bronze (2015), 23
The Brood (1979), 1
Brooklyn (2015), 8
Brother Bear (2003), 13
The Brotherhood (Movies), 49
绣春刀 | Brotherhood of Blades (2014), 17
The Brothers Bloom (2008), 38
The Brothers Grimm (2005), 19
The Brothers Grimsby (2016), 1
Brothers of the Head (2005), 27
Bruce Almighty (2003), 11
Brüno (2009), 2
Brutal (2007), 1
新步步惊心 | Bu Bu Jing Xin | Time to love (2015), 1
The Bubble (2006), 3
Bubble Boy (2001), 1
Buck Rogers (1939), 1
Buffy the Vampire Slayer (1992), 123
A Bug's Life (1998), 8
Bugsy Malone (1976), 2
Bull Durham (1988), 6
Bullet Boy (2004), 1
Bullet to the Head (2012), 1
Bulletproof Monk (2003), 4
Bunnyman (2011), 1
Bunraku (2010), 7
Il buono il brutto il cattivo | The Good The Bad and The Ugly (1966), 8
Buried On Sunday (1992), 13
Burlesque (2010), 7
Burnt (2015), 31
Bushido 16 (2010), 1
But I'm a Cheerleader (1999), 19
Butch Cassidy and the Sundance Kid (1969), 45
Butter Lover (Short Film), 1
The Butterfly Circus (2009), 1
The Butterfly Effect (2004), 3
武俠梁祝 | The Butterfly Lovers (2008), 2
Butterfly on a Wheel | Shattered (2007), 1
By the Gun (2014), 2
By the Sword (1991), 3
The Bye Bye Man (2017), 4
Byzantium (2012), 13
Børning (2014), 1
Czy Lucyna to dziewczyna? (1934), 1
C.R.A.Z.Y. (2005), 3
Cabaret (1972), 17
Cabin Fever (2002), 2
The Cabin in the Woods (2011), 75
Das Cabinet des Dr. Caligari | Cabinet of Dr. Caligari (1920), 3
Cadet Kelly, 1
Café Daikanyama (Movies), 1
Caffeine (2006), 2
La Cage aux Folles - All Media Types, 6
Cairo Time (2009), 5
Calamity Jane (1953), 6
Calendar Girls (2003), 2
California Solo (2012), 12
Caligula (1979), 1
Call Me By Your Name (2017), 2
Call Me By Your Name - All Media Types, 4
Call Me Mrs. Miracle (2010), 1
Calvary (2014), 1
Came Out It Rained Went Back In Again (1991), 1
Camelot (1967), 3
Camp (2003), 3
Camp Rock (2008), 16
Camp Takota (2014), 3
Can't Hardly Wait (1998), 2
Can't Stop the Music (1980), 1
Canadian 6 Degrees, 2155
Candleshoe (1977), 1
Candy (2006), 1
Candyman (1992), 2
Captain America (1944), 5
Captain America (1990), 4
Captain America (Movies), 47276
Captain America - All Media Types, 52738
Captain Blood (1935), 5
Captain Corelli's Mandolin - All Media Types, 2
Captain Fantastic (2016), 2
Captain Kronos: Vampire Hunter (1974), 1
سكر بنات | Caramel (2007), 2
Caravaggio (1986), 4
Carefree (1938), 1
Cargo (Short Film), 1
Carol (2015), 395
Carrie (1976), 11
Carrie (2002), 1
Carrie (2013), 13
Carrie - All Media Types, 48
Carriers (2009), 1
Carry on Constable (1960), 1
Carry on Cowboy (1966), 1
Carry on Up the Khyber (1968), 1
Cars (Movies), 98
Casablanca (1942), 48
Case 39 (2009), 1
Casino Royale (1967), 2
Casper (1995), 36
Cast Away (2000), 1
Castle Freak (1995), 1
Cat from Outer Space (1978), 3
Cat People (1942), 1
Cat People (1982), 2
Catch and Release (2006), 3
Catch Me If You Can (2002), 14
我爱喵星人 | Catman (2017), 1
Cats & Dogs (Movies), 1
Cats Don't Dance (1997), 8
Catwoman (2004), 8
The Cave (2005), 9
Celeste and Jesse Forever (2012), 2
La Celestina (1996), 2
The Cell (2000), 6
Cellular (2004), 4
Cemetery Junction, 2
Center Stage (2000), 11
Central Intelligence (2016), 2
Centurion (2010), 18
Century Hotel (2001), 10
Cèon gwòng záa sít | Happy Together (1997), 1
Chain Letter (2009), 1
Chain of Command (2000), 3
Chak De! India (2007), 7
The Change-Up (2011), 1
Changeling (2008), 1
Les chansons d'amour | Love Songs (2008), 7
Chaplin (1992), 1
Chappie (2015), 27
Charade (1963), 4
Chariots of Fire (1981), 4
Charlie and the Chocolate Factory (2005), 81
Charlie and the Chocolate Factory - All Media Types, 120
Charlie Bartlett (2007), 12
Charlie Countryman (2013), 552
Charlie's Angels - All Media Types, 50
Charlie's Angels (Movies), 31
Charlotte Gray (2001), 6
Chasing Amy (1995), 29
Chasing Cain (2001), 1
Chasing Liberty (2004), 4
Chatroom (2010), 3
Cheaper by the Dozen (Movies), 9
Chef (2014), 2
厨子戏子痞子 | The Chef The Actor The Scoundrel (2013), 1
Cherry Falls (2000), 4
Cherrybomb (2009), 2
Chì bì | Red Cliff (2008), 40
Chicago (2002), 52
Chicken Run (2000), 3
Child 44 (2014), 7
Child's Play/Chucky (Movies), 26
Children of Men (2006), 9
Children of the Corn (Movies), 4
Children of the Damned (1964), 1
Children's Hour (1961), 5
China Rose (1983), 1
Chinatown (1974), 1
チリンの鈴 | Chirin no Suzu | Ringing Bell (1978), 1
Chitty Chitty Bang Bang - All Media Types, 17
Chloe (2009), 12
Chocolat (2000), 14
The Chocolate War - All Media Types, 2
Choke (2008), 1
Les Choristes (2004), 1
The Chosen (1981), 3
Chronicle (2012), 88
Chronicles of Narnia (Movies), 545
Chronicles of Narnia - All Media Types, 2638
The Chronicles of Riddick (2004), 275
The Chronicles of Riddick Series, 658
The Chumscrubber (2005), 6
Chungking Express (1994), 1
춘향뎐 | Chunhyang (2000), 1
Cì Qīng | Spider Lilies (2007), 1
Cidade de Deus | City of God (2002), 1
Cinderella - All Media Types, 760
Cinderella (1950), 112
Cinderella (1997), 11
Cinderella (2015), 249
A Cinderella Story (2004), 2
Circle of Iron | The Silent Flute (1978), 1
Cirque du Freak: The Vampire's Assistant (2009), 9
La Cité des Enfants Perdus | The City of Lost Children (1995), 1
Citizen Kane (1941), 7
City by the Sea (2002), 1
City Hunter (HK 1993), 1
City of Angels (1998), 5
Clapham Junction (2007), 2
Clash of the Titans (2010), 29
Clerks II (2006), 10
Clerks. (1994), 11
The Client (1994), 2
Clockstoppers (2002), 2
A Clockwork Orange (1971), 13
A Clockwork Orange - All Media Types, 25
Close Encounters of the Third Kind (1977), 2
Close My Eyes (1991), 1
Closer (2004), 5
Closet Land (1991), 1
Cloud Atlas (2012), 89
Cloud Atlas - All Media Types, 134
Cloudburst (2011), 1
Clouds of Sils Maria (2014), 6
Cloudy with a Chance of Meatballs - All Media Types, 7
Clover (2014), 1
Cloverfield (2008), 6
Clue (1985), 40
Clue | Cluedo - All Media Types, 57
Clueless (1995), 29
Coach (1978), 1
Cockneys vs Zombies (2012), 1
Cocktail (2012), 1
Coco Chanel & Igor Stravinsky (2009), 4
Cocoon (1985), 1
Code 8 (Short Film), 1
Codependent Lesbian Space Alien Seeks Same (2011), 1
Coffee Town (2013), 1
Coffy (1973), 1
Cohen and Tate (1988), 1
Cold Comfort (1989), 1
Cold Comfort Farm - All Media Types, 5
Cold Mountain (2003), 7
Collateral (2004), 10
Коллектор | Collector (2016), 1
The Collector Series (Movies), 33
Colma: The Musical (2006), 1
Colombiana (2011), 2
The Color Purple (1985), 2
The Color Wheel (2011), 1
Colour Me Kubrick (2005), 1
Coming to America (1998), 3
The Commitments (1991), 1
The Commitments - All Media Types, 2
The Company of Wolves - All Media Types, 6
Compulsion (1959), 2
Con Air (1997), 5
Conan the Barbarian & Related Fandoms, 16
Conan the Barbarian (1980s Movies), 2
Conan the Barbarian (2011), 4
Confession (2005), 2
Confessions of a Shopaholic (2009), 13
The Conjuring (Movies), 13
The Conspirator (2010), 3
Constantine (2005), 189
The Consultant (Marvel Short Film), 2
Contact (1997), 14
Contact - Ambiguous Fandom, 19
Contagion (2011), 1
Contraband (2012), 1
The Contract (2006), 1
Convoy (1978), 1
Cool Cat Saves the Kids (2015), 2
Cool World (1992), 3
Cooties (2014), 1
Cop Out (2010), 1
Copycat (1995), 7
Coraline (2009), 95
Coraline - All Media Types, 125
